I0,I1
11983.00,0.00
11655.10,0.00
10917.40,0.00
9792.30,0.00
8316.30,0.00
6538.80,0.00
4521.20,0.00
2334.20,0.00
55.90,0.00
-2231.30,0.00
-4443.10,0.00
-6497.00,0.00
-8315.10,0.00
-9827.00,0.00
-10973.20,0.00
-11706.70,0.00
-11996.00,0.00
-11825.90,0.00
-11198.90,0.00
-10135.30,0.00
-8672.60,0.00
-6864.80,0.00
-4780.30,0.00
-2499.60,0.00
-112.10,0.00
2286.90,0.00
4600.50,0.00
6733.50,0.00
8597.00,0.00
10111.70,0.00
11211.70,0.00
11847.20,0.00
11987.50,0.00
11622.30,0.00
10762.40,0.00
9440.20,0.00
7708.50,0.00
5638.40,0.00
3317.00,0.00
843.50,0.00
-1674.30,0.00
-4125.50,0.00
-6400.10,0.00
-8394.80,0.00
-10016.80,0.00
-11189.60,0.00
-11855.20,0.00
-11978.90,0.00
-11549.90,0.00
-10583.20,0.00
-9119.30,0.00
-7222.40,0.00
-4978.60,0.00
-2491.20,0.00
122.70,0.00
2738.40,0.00
5229.20,0.00
7472.70,0.00
9356.60,0.00
10784.80,0.00
11682.30,0.00
11999.70,0.00
11715.80,0.00
10839.60,0.00
9410.30,0.00
7495.90,0.00
5190.60,0.00
2610.20,0.00
-113.70,0.00
-2839.60,0.00
-5424.10,0.00
-7728.90,0.00
-9628.90,0.00
-11018.40,0.00
-11818.00,0.00
-11979.00,0.00
-11486.90,0.00
-10363.00,0.00
-8663.50,0.00
-6477.90,0.00
-3923.80,0.00
-1141.80,0.00
1713.10,0.00
4479.00,0.00
6996.60,0.00
9118.90,0.00
10719.30,0.00
11700.00,0.00
11997.90,0.00
11589.30,0.00
10492.20,0.00
8765.90,0.00
6508.40,0.00
3851.20,0.00
952.40,0.00
-2013.20,0.00
-4863.70,0.00
-7421.90,0.00
-9525.80,0.00
-11039.90,0.00
-11863.50,0.00
-11938.20,0.00
-11252.60,0.00
-9843.80,0.00
-7796.40,0.00
-5237.20,0.00
-2328.80,0.00
740.90,0.00
3770.80,0.00
6558.90,0.00
8917.20,0.00
10682.90,0.00
11731.50,0.00
11985.10,0.00
11419.40,0.00
10066.00,0.00
8011.60,0.00
5393.10,0.00
2388.90,0.00
-792.30,0.00
-3926.90,0.00
-6790.30,0.00
-9174.90,0.00
