I0,I1
668.50,-0.70
87.20,-0.70
-496.60,-0.70
-1077.40,-0.70
-1649.70,-0.70
-2207.80,-0.70
-2746.10,-0.70
-3259.20,-0.70
-3742.00,-0.70
-4189.20,-0.70
-4596.20,-0.70
-4958.40,-0.70
-5272.00,-0.70
-5533.20,-0.70
-5738.90,-0.70
-5886.50,-0.70
-5973.90,-0.70
-5999.80,-0.70
-5963.20,-0.70
-5864.10,-0.70
-5702.80,-0.70
-5480.60,-0.70
-5199.20,-0.70
-4861.20,-0.70
-4469.70,-0.70
-4028.50,-0.70
-3542.00,-0.70
-3015.10,-0.70
-2453.20,-0.70
-1862.40,-0.70
-1248.90,-0.70
-619.60,-0.70
18.60,-0.70
658.60,-0.70
1292.90,-0.70
1914.10,-0.70
2515.10,-0.70
3088.40,-0.70
3627.30,-0.70
4124.90,-0.70
4574.90,-0.70
4971.70,-0.70
5309.80,-0.70
5584.70,-0.70
5792.40,-0.70
5929.90,-0.70
5994.70,-0.70
5985.50,-0.70
5901.60,-0.70
5743.50,-0.70
5512.40,-0.70
5210.70,-0.70
4841.60,-0.70
4409.10,-0.70
3918.40,-0.70
3375.30,-0.70
2786.50,-0.70
2159.20,-0.70
1501.60,-0.70
821.90,-0.70
129.20,-0.70
-567.30,-0.70
-1258.20,-0.70
-1934.00,-0.70
-2585.30,-0.70
-3202.90,-0.70
-3777.80,-0.70
-4301.70,-0.70
-4766.70,-0.70
-5165.80,-0.70
-5492.60,-0.70
-5741.70,-0.70
-5909.00,-0.70
-5991.30,-0.70
-5986.50,-0.70
-5894.10,-0.70
-5714.50,-0.70
-5449.60,-0.70
-5102.60,-0.70
-4678.00,-0.70
-4181.60,-0.70
-3620.10,-0.70
-3001.70,-0.70
-2335.30,-0.70
-1630.80,-0.70
-898.90,-0.70
-150.60,-0.70
602.20,-0.70
1347.70,-0.70
2074.00,-0.70
2769.20,-0.70
3421.90,-0.70
4021.00,-0.70
4556.20,-0.70
5018.30,-0.70
5398.90,-0.70
5690.90,-0.70
5888.70,-0.70
5988.10,-0.70
5986.50,-0.70
5883.00,-0.70
5678.50,-0.70
5375.60,-0.70
4978.70,-0.70
4493.90,-0.70
3928.80,-0.70
3292.80,-0.70
2596.40,-0.70
1851.60,-0.70
1071.30,-0.70
269.40,-0.70
-539.80,-0.70
-1341.60,-0.70
-2121.10,-0.70
-2863.70,-0.70
-3555.20,-0.70
-4182.20,-0.70
-4732.20,-0.70
-5194.30,-0.70
-5558.70,-0.70
-5817.50,-0.70
-5965.00,-0.70
-5997.00,-0.70
-5912.10,-0.70
-5710.80,-0.70
-5396.10,-0.70
-4973.20,-0.70
-4449.50,-0.70
-3834.80,-0.70
-3140.70,-0.70
-2380.50,-0.70
-1569.30,-0.70
-723.30,-0.70
140.10,-0.70
1003.20,-0.70
1847.90,-0.70
2656.00,-0.70
3410.20,-0.70
4093.80,-0.70
4691.50,-0.70
5189.50,-0.70
5576.20,-0.70
5842.10,-0.70
5980.20,-0.70
5986.30,-0.70
5859.10,-0.70
5600.30,-0.70
5214.40,-0.70
4709.20,-0.70
4095.10,-0.70
3385.20,-0.70
2595.00,-0.70
1742.20,-0.70
846.20,-0.70
-72.40,-0.70
-992.00,-0.70
-1890.70,-0.70
-2746.90,-0.70
-3539.60,-0.70
-4248.80,-0.70
-4856.70,-0.70
-5347.30,-0.70
-5707.60,-0.70
-5927.40,-0.70
-6000.00,-0.70
-5922.20,-0.70
-5694.60,-0.70
-5321.70,-0.70
-4811.60,-0.70
-4176.40,-0.70
-3431.30,-0.70
-2594.70,-0.70
-1687.70,-0.70
-733.60,-0.70
242.90,-0.70
1215.70,-0.70
2158.80,-0.70
3046.60,-0.70
3854.30,-0.70
4559.20,-0.70
5141.10,-0.70
5582.70,-0.70
5870.50,-0.70
5995.00,-0.70
5951.40,-0.70
5739.30,-0.70
5363.20,-0.70
4832.50,-0.70
4161.00,-0.70
3367.00,-0.70
2472.50,-0.70
1502.80,-0.70
485.90,-0.70
-548.40,-0.70
-1569.40,-0.70
-2546.30,-0.70
-3449.20,-0.70
-4250.00,-0.70
-4923.20,-0.70
-5447.00,-0.70
-5803.70,-0.70
-5981.00,-0.70
-5971.40,-0.70
-5773.80,-0.70
-5392.50,-0.70
-4838.30,-0.70
-4127.20,-0.70
-3280.90,-0.70
-2325.50,-0.70
-1291.50,-0.70
-211.90,-0.70
877.90,-0.70
1941.80,-0.70
2943.80,-0.70
3849.80,-0.70
4628.20,-0.70
5251.40,-0.70
5696.50,-0.70
5946.70,-0.70
5991.50,-0.70
5827.60,-0.70
5458.70,-0.70
4896.10,-0.70
4158.10,-0.70
3269.40,-0.70
2260.60,-0.70
1167.10,-0.70
28.00,-0.70
-1115.60,-0.70
-2221.60,-0.70
-3248.50,-0.70
-4157.50,-0.70
-4913.50,-0.70
-5486.60,-0.70
-5853.40,-0.70
-5998.00,-0.70
-5913.00,-0.70
-5599.50,-0.70
-5067.60,-0.70
-4336.30,-0.70
-3432.40,-0.70
-2390.20,-0.70
-1249.80,-0.70
-56.10,-0.70
1143.40,-0.70
2300.20,-0.70
3366.70,-0.70
4298.50,-0.70
5055.90,-0.70
5605.80,-0.70
5923.60,-0.70
5993.80,-0.70
5811.10,-0.70
5381.20,-0.70
4720.10,-0.70
3854.30,-0.70
2819.20,-0.70
1658.50,-0.70
421.70,-0.70
-837.20,-0.70
-2062.80,-0.70
-3200.10,-0.70
-4197.40,-0.70
-5008.40,-0.70
-5594.80,-0.70
-5927.60,-0.70
-5989.40,-0.70
-5775.00,-0.70
-5291.60,-0.70
-4559.70,-0.70
-3611.20,-0.70
-2489.30,-0.70
-1245.60,-0.70
61.30,-0.70
1369.20,-0.70
2614.60,-0.70
3736.30,-0.70
4678.30,-0.70
5392.40,-0.70
5841.20,-0.70
5999.90,-0.70
5857.90,-0.70
5419.80,-0.70
4705.10,-0.70
3748.00,-0.70
2595.30,-0.70
1305.10,-0.70
-56.90,-0.70
-1419.80,-0.70
-2712.10,-0.70
-3864.50,-0.70
-4814.50,-0.70
-5509.20,-0.70
-5909.00,-0.70
-5989.50,-0.70
-5743.50,-0.70
-5181.50,-0.70
-4331.80,-0.70
-3239.00,-0.70
-1961.90,-0.70
-570.90,-0.70
856.60,-0.70
2239.50,-0.70
3498.30,-0.70
4559.40,-0.70
5359.60,-0.70
5850.00,-0.70
5998.90,-0.70
5794.70,-0.70
5246.10,-0.70
4382.90,-0.70
3254.20,-0.70
1925.60,-0.70
476.20,-0.70
-1006.60,-0.70
-2431.80,-0.70
-3710.90,-0.70
-4762.90,-0.70
-5520.00,-0.70
-5931.70,-0.70
-5969.10,-0.70
-5626.30,-0.70
-4921.90,-0.70
-3898.20,-0.70
-2618.60,-0.70
-1164.40,-0.70
370.40,-0.70
1885.40,-0.70
3279.50,-0.70
4458.60,-0.70
5341.40,-0.70
5865.70,-0.70
5992.60,-0.70
5709.70,-0.70
5033.00,-0.70
4005.80,-0.70
2696.60,-0.70
1194.50,-0.70
-396.20,-0.70
-1963.40,-0.70
-3395.20,-0.70
-4587.50,-0.70
-5452.00,-0.70
-5923.20,-0.70
-5963.00,-0.70
-5564.60,-0.70
-4753.70,-0.70
-3586.80,-0.70
-2148.10,-0.70
-543.60,-0.70
1106.80,-0.70
2677.70,-0.70
4048.10,-0.70
5110.40,-0.70
5779.50,-0.70
5999.80,-0.70
5749.90,-0.70
5045.40,-0.70
3938.20,-0.60
2513.20,-0.50
882.00,-0.10
-825.20,0.60
-2470.30,1.30
-3918.10,1.90
-5047.70,2.40
-5762.70,2.50
-5999.80,2.40
-5735.00,2.20
-4986.10,1.90
-3812.30,1.40
-2309.90,0.70
-605.00,-0.10
1157.20,-1.30
2824.00,-2.70
4249.00,-4.00
5304.80,-4.90
5894.80,-5.10
5962.40,-5.00
5496.90,-4.60
4535.50,-4.00
3160.80,-3.40
1494.20,-2.70
-314.00,-1.80
-2098.60,-1.10
-3693.80,-0.50
-4949.30,0.00
-5744.10,0.40
