I0,I1
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
1800.00,0.00
